present,location,dist,elev,vector,year,rev_pres
0,Pilgrims,14,5.2,14.93452376,2008,1
0,Pilgrims,14,4.3,14.64547712,2008,1
0,Pilgrims,14,3.9,14.53306575,2008,1
0,Pilgrims,14,4.2,14.61642911,2008,1
0,Pilgrims,14,5.2,14.93452376,2008,1
0,Pilgrims,9,3.5,9.656603958,2008,1
0,Pilgrims,9,3.3,9.585927185,2008,1
0,Pilgrims,9,3.2,9.551963149,2008,1
0,Pilgrims,20,3.3,20.2704218,2008,1
0,Pilgrims,20,3.3,20.2704218,2008,1
0,Pilgrims,20,3.4,20.28694161,2008,1
0,Pilgrims,9,3.2,9.551963149,2008,1
0,Pilgrims,1,5,5.099019514,2008,1
0,Pilgrims,1,3.2,3.352610923,2008,1
0,Pilgrims,1,2.9,3.06757233,2008,1
0,Pilgrims,11,5.2,12.16716894,2008,1
